l_name,l_team,l_pos,l_gp,l_points,l_owners,l_proj,l_actual,l_passyd,l_passtd,l_passint,l_rushyds,l_rushtd,l_rush1st,l_recepts,l_recyds,l_rectd,l_rec1st,l_touchdown,l_points1,l_points2,l_points3,l_points4,l_points5,l_points6,l_points7,l_points8,l_owners18,l_actual18,l_pointspg18,l_passydpg18,l_passtdpg18,l_passintpg18,l_rushydpg18,l_rushtdpg18,l_rush1stpg18,l_2ptpg18,l_fumblepg18,l_touchdown18,l_runnerQB18,l_pointspg17,l_passydpg17,l_passtdpg17,l_passintpg17,l_rushydpg17,l_rushtdpg17,l_rush1stpg17,l_2ptpg17,l_fumblepg17,l_touchdown17,l_runnerQB17
Ben Roethlisberger,Pit,QB,1,9.74,87%,58,170,276,0,1,7,0,0,0,0,0,0,0,9.74,3.00,0,0,0,0,-,0,,,,,,,,,,,,,,,,,,,,,,,,
Jared Goff,LAR,QB,1,9.44,96%,37,175,186,1,1,0,0,0,0,0,0,0,1,9.44,18.12,14.12,20.68,17.90,1.12,25.02,22.88,,,,,,,,,,,,,,,,,,,,,,,,
Baker Mayfield,Cle,QB,1,9.40,100%,14,177,285,1,3,0,0,0,0,0,0,0,1,9.40,15.00,9.70,16.78,-2.00,20.46,-,11.56,,,,,,,,,,,,,,,,,,,,,,,,
Mitchell Trubisky,Chi,QB,1,9.22,65%,30,178,228,0,1,11,0,1,0,0,0,0,0,9.22,5.60,19.44,0.36,0,-,20.04,8.12,,,,,,,,,,,,,,,,,,,,,,,,
Jameis Winston,TB,QB,1,8.06,82%,26,196,194,1,3,13,0,1,0,0,0,0,1,8.06,14.22,25.50,29.30,17.46,12.10,-,22.34,,,,,,,,,,,,,,,,,,,,,,,,
Robert Griffin III,Bal,QB,1,7.10,0%,543,207,55,1,0,9,0,0,0,0,0,0,1,7.10,7.10,0,0,0,0,0,-,,,,,,,,,,,,,,,,,,,,,,,,
Nick Foles,Jax,QB,1,7.00,16%,76,210,75,1,0,0,0,0,0,0,0,0,1,7.00,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Cam Newton,Car,QB,1,5.36,96%,10,238,239,0,1,-2,0,0,0,0,0,0,0,5.36,11.32,0,0,0,0,-,0,,,,,,,,,,,,,,,,,,,,,,,,
Christian McCaffrey,Car,RB,1,46.20,100%,3,2,0,0,0,128,2,7,10,81,0,3,4,46.20,10.77,29.63,38.03,53.67,22.83,0,29.23,,,,,,,,,,,,,,,,,,,,,,,,
Austin Ekeler,LAC,RB,1,45.20,91%,52,3,0,0,0,58,1,4,6,96,2,3,9,45.20,24.07,18.60,36.13,25.43,7.33,28.57,12.57,,,,,,,,,,,,,,,,,,,,,,,,
Marlon Mack,Ind,RB,1,34.40,98%,81,9,0,0,0,174,1,11,0,0,0,0,1,34.40,12.90,20.33,5.90,24.27,-,8.20,19.53,,,,,,,,,,,,,,,,,,,,,,,,
Derrick Henry,Ten,RB,1,31.40,99%,89,15,0,0,0,84,1,4,1,75,1,1,4,31.40,22.00,12.53,17.53,15.80,4.13,20.20,10.03,,,,,,,,,,,,,,,,,,,,,,,,
Le'Veon Bell,NYJ,RB,1,31.13,100%,18,16,0,0,0,60,0,3,6,32,1,4,1,31.13,22.87,11.37,-,18.30,13.20,11.40,6.10,,,,,,,,,,,,,,,,,,,,,,,,
David Johnson,Ari,RB,1,29.87,100%,9,19,0,0,0,82,0,2,6,55,1,2,1,29.87,8.40,26.57,24.60,24.43,31.93,0.20,0,,,,,,,,,,,,,,,,,,,,,,,,
Alvin Kamara,NO,RB,1,28.50,100%,1,25,0,0,0,97,0,4,7,72,0,3,0,28.50,8.50,42.03,17.23,21.52,13.43,0,0,,,,,,,,,,,,,,,,,,,,,,,,
