l_name,l_team,l_pos,l_gp,l_points,l_owners,l_proj,l_actual,l_passyd,l_passtd,l_passint,l_rushyds,l_rushtd,l_rush1st,l_recepts,l_recyds,l_rectd,l_rec1st,l_touchdown,l_points1,l_points2,l_points3,l_points4,l_points5,l_points6,l_points7,l_points8,l_owners18,l_actual18,l_pointspg18,l_passydpg18,l_passtdpg18,l_passintpg18,l_rushydpg18,l_rushtdpg18,l_rush1stpg18,l_2ptpg18,l_fumblepg18,l_touchdown18,l_runnerQB18,l_pointspg17,l_passydpg17,l_passtdpg17,l_passintpg17,l_rushydpg17,l_rushtdpg17,l_rush1stpg17,l_2ptpg17,l_fumblepg17,l_touchdown17,l_runnerQB17
Zach Ertz,Phi,TE,1,11.60,100%,56,150,0,0,0,0,0,0,5,54,0,3,0,11.60,16.80,11.27,16.33,18.80,7.60,6.53,4.33,,,,,,,,,,,,,,,,,,,,,,,,
C.J. Uzomah,Cin,TE,1,11.40,2%,290,151,0,0,0,0,0,0,4,66,0,3,0,11.40,0,0,0,3.07,4.73,0,1.27,,,,,,,,,,,,,,,,,,,,,,,,
Hunter Henry,LAC,TE,1,11.00,99%,104,158,0,0,0,0,0,0,4,60,0,3,0,11.00,0,0,0,0,36.67,18.47,9.13,,,,,,,,,,,,,,,,,,,,,,,,
Travis Kelce,KC,TE,1,10.87,100%,38,161,0,0,0,0,0,0,3,88,0,2,0,10.87,28.13,17.93,18.67,12.67,10.87,11.93,20.20,,,,,,,,,,,,,,,,,,,,,,,,
Tyler Eifert,Cin,TE,1,8.80,9%,218,186,0,0,0,0,0,0,5,27,0,2,0,8.80,12.60,3.20,5.80,2.93,4.87,2.67,14.93,,,,,,,,,,,,,,,,,,,,,,,,
Greg Olsen,Car,TE,1,8.40,67%,161,191,0,0,0,0,0,0,4,36,0,2,0,8.40,17.33,33.00,4.33,0,10.47,-,3.87,,,,,,,,,,,,,,,,,,,,,,,,
Hayden Hurst,Bal,TE,1,7.73,1%,285,198,0,0,0,0,0,0,3,41,0,2,0,7.73,10.07,3.93,5.60,8.13,1.27,2.67,-,,,,,,,,,,,,,,,,,,,,,,,,
James O'Shaughnessy,Jax,TE,1,7.13,0%,312,204,0,0,0,0,0,0,4,32,0,1,0,7.13,6.87,13.20,11.20,8.80,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Nick Boyle,Bal,TE,1,6.73,0%,359,213,0,0,0,0,0,0,3,26,0,2,0,6.73,2.93,9.87,1.60,0,3.20,3.33,-,,,,,,,,,,,,,,,,,,,,,,,,
Vance McDonald,Pit,TE,1,6.67,96%,123,215,0,0,0,0,0,0,2,40,0,2,0,6.67,27.53,2.67,0,6.27,1.33,-,5.27,,,,,,,,,,,,,,,,,,,,,,,,
Jared Cook,NO,TE,1,6.47,98%,112,219,0,0,0,0,0,0,2,37,0,2,0,6.47,5.67,1.47,4.40,17.73,16.47,0,0,,,,,,,,,,,,,,,,,,,,,,,,
O.J. Howard,TB,TE,1,6.13,99%,92,223,0,0,0,0,0,0,4,32,0,2,0,6.13,0,10.40,7.20,2.67,5.33,-,0,,,,,,,,,,,,,,,,,,,,,,,,
Tommy Sweeney,Buf,TE,1,5.33,0%,929,239,0,0,0,0,0,0,2,35,0,1,0,5.33,0,1.20,0,0,-,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Geoff Swaim,Jax,TE,1,5.13,0%,268,242,0,0,0,0,0,0,4,17,0,0,0,5.13,3.93,1.53,5.13,1.27,1.33,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Mike Gesicki,Mia,TE,1,5.07,3%,271,244,0,0,0,0,0,0,2,31,0,1,0,5.07,1.73,3.60,0,-,7.40,8.73,2.67,,,,,,,,,,,,,,,,,,,,,,,,
Ryan Griffin,NYJ,TE,1,4.67,0%,296,255,0,0,0,0,0,0,3,10,0,1,0,4.67,0,1.33,-,1.13,15.87,1.07,30.40,,,,,,,,,,,,,,,,,,,,,,,,
Noah Fant,Den,TE,1,4.43,14%,248,264,0,0,0,-5,0,0,2,29,0,1,0,4.43,9.20,5.47,13.07,1.40,4.07,1.47,8.73,,,,,,,,,,,,,,,,,,,,,,,,
Robert Tonyan,GB,TE,1,3.87,0%,351,278,0,0,0,0,0,0,1,28,0,1,0,3.87,0,1.27,2.73,3.53,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Jonnu Smith,Ten,TE,1,3.47,0%,321,287,0,0,0,10,0,1,1,7,0,0,0,3.47,0,4.33,1.33,5.80,3.13,9.27,23.20,,,,,,,,,,,,,,,,,,,,,,,,
Jack Doyle,Ind,TE,1,3.33,29%,236,289,0,0,0,0,0,0,1,20,0,1,0,3.33,4.40,10.07,16.47,5.27,-,5.40,12.07,,,,,,,,,,,,,,,,,,,,,,,,
Foster Moreau,Oak,TE,1,3.33,0%,398,290,0,0,0,0,0,0,2,20,0,0,0,3.33,0,1.07,16.00,10.07,-,13.60,2.67,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Akins,Hou,TE,1,3.13,0%,272,292,0,0,0,0,0,0,1,17,0,1,0,3.13,4.67,25.87,5.40,3.40,7.60,4.13,3.73,,,,,,,,,,,,,,,,,,,,,,,,
Nick Vannett,Pit,TE,1,3.07,0%,326,293,0,0,0,0,0,0,2,16,0,0,0,3.07,2.87,1.60,4.87,0,1.33,-,3.00,,,,,,,,,,,,,,,,,,,,,,,,
Dallas Goedert,Phi,TE,1,3.07,17%,197,294,0,0,0,0,0,0,2,16,0,0,0,3.07,0,0,13.07,2.73,10.20,17.60,16.07,,,,,,,,,,,,,,,,,,,,,,,,
Maxx Williams,Ari,TE,1,3.00,0%,345,297,0,0,0,0,0,0,1,15,0,1,0,3.00,3.40,0,3.40,1.47,16.27,2.33,,,,,,,,,,,,,,,,,,,,,,,,,
Jesse James,Det,TE,1,3.00,1%,277,298,0,0,0,0,0,0,1,15,0,1,0,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DeSean Jackson,Phi,WR,1,40.27,66%,136,4,0,0,0,0,0,0,8,154,2,6,4,40.27,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
John Ross III,Cin,WR,1,39.53,9%,148,5,0,0,0,0,0,0,7,158,2,6,4,39.53,21.47,2.47,8.4,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
DeAndre Hopkins,Hou,WR,1,37.40,100%,8,6,0,0,0,0,0,0,8,111,2,6,4,37.40,10.67,13.47,6.73,17.87,21.67,31.07,26.37,,,,,,,,,,,,,,,,,,,,,,,,
Marquise Brown,Bal,WR,1,32.80,31%,199,12,0,0,0,0,0,0,4,147,2,3,4,32.80,17.73,7.27,7.47,13.47,0,0,-,,,,,,,,,,,,,,,,,,,,,,,,
T.Y. Hilton,Ind,WR,1,32.80,98%,86,13,0,0,0,0,0,0,8,87,2,3,4,32.80,16.87,23.33,0,9.47,-,23.93,6.60,,,,,,,,,,,,,,,,,,,,,,,,
John Brown,Buf,WR,1,30.20,49%,142,18,0,0,0,0,0,0,7,123,1,7,1,30.20,16.80,10.80,12.60,15.00,-,21.53,21.60,,,,,,,,,,,,,,,,,,,,,,,,
Phillip Dorsett II,NE,WR,1,29.33,4%,217,22,0,0,0,0,0,0,4,95,2,3,4,29.33,7.60,21.73,4.57,0,0,16.07,7.87,,,,,,,,,,,,,,,,,,,,,,,,
Keenan Allen,LAC,WR,1,29.20,100%,40,23,0,0,0,0,0,0,8,123,1,5,1,29.20,21.53,49.50,9.20,8.20,6.20,12.07,12.53,,,,,,,,,,,,,,,,,,,,,,,,
Jamison Crowder,NYJ,WR,1,27.00,46%,114,31,0,0,0,4,0,0,14,99,0,6,0,27.00,7.67,4.67,-,2.67,16.53,6.73,5.60,,,,,,,,,,,,,,,,,,,,,,,,
Danny Amendola,Det,WR,1,26.93,5%,220,32,0,0,0,0,0,0,7,104,1,5,1,26.93,1.10,8.47,0.00,-,1.40,21.00,19.73,,,,,,,,,,,,,,,,,,,,,,,,
Larry Fitzgerald,Ari,WR,1,26.53,85%,116,35,0,0,0,0,0,0,8,113,1,3,1,26.53,14.93,18.40,11.13,12.87,13.60,2.80,3.53,,,,,,,,,,,,,,,,,,,,,,,,
Amari Cooper,Dal,WR,1,26.07,100%,49,36,0,0,0,0,0,0,6,106,1,5,1,26.07,16.93,32.87,10.20,41.07,1.20,16.07,-,,,,,,,,,,,,,,,,,,,,,,,,
Tyrell Williams,Oak,WR,1,26.00,62%,122,37,0,0,0,0,0,0,6,105,1,5,1,26.00,20.07,14.93,15.40,0,-,0,20.07,,,,,,,,,,,,,,,,,,,,,,,,
Chris Conley,Jax,WR,1,25.47,1%,266,40,0,0,0,0,0,0,6,97,1,5,1,25.47,12.87,5.00,3.13,3.73,0.00,12.53,21.87,,,,,,,,,,,,,,,,,,,,,,,,
Alshon Jeffery,Phi,WR,1,25.47,95%,88,41,0,0,0,2,1,1,5,49,1,4,4,25.47,0.00,0.00,16.53,12.47,30.07,6.53,12.27,,,,,,,,,,,,,,,,,,,,,,,,
Terry McLaurin,Was,WR,1,25.33,3%,314,42,0,0,0,0,0,0,5,125,1,4,1,25.33,21.13,23.67,0.00,9.40,30.67,2.73,9.60,,,,,,,,,,,,,,,,,,,,,,,,
DJ Chark Jr.,Jax,WR,1,24.73,2%,276,46,0,0,0,0,0,0,4,146,1,3,1,24.73,21.67,20.07,8.93,42.93,7.87,10.53,24.27,,,,,,,,,,,,,,,,,,,,,,,,
Michael Thomas,NO,WR,1,24.20,100%,7,48,0,0,0,0,0,0,10,123,0,6,0,24.20,19.93,20.60,18.33,48.13,17.93,24.73,33.57,,,,,,,,,,,,,,,,,,,,,,,,
Michael Gallup,Dal,WR,1,22.53,69%,131,52,0,0,0,0,0,0,7,158,0,5,0,22.53,14.53,0,0,27.53,10.20,6.27,-,,,,,,,,,,,,,,,,,,,,,,,,
Emmanuel Sanders,SF,WR,1,21.73,80%,99,54,0,0,0,0,0,0,5,86,1,3,1,21.73,32.53,3.67,15.93,2.60,1.00,12.00,16.67,,,,,,,,,,,,,,,,,,,,,,,,
Randall Cobb,Dal,WR,1,20.60,10%,225,60,0,0,0,0,0,0,4,69,1,4,1,20.60,10.20,4.53,9.13,9.53,0.00,6.53,-,,,,,,,,,,,,,,,,,,,,,,,,
Calvin Ridley,Atl,WR,1,20.27,96%,98,62,0,0,0,0,0,0,4,64,1,4,1,20.27,29.00,2.40,6.13,22.87,18.20,8.00,14.67,,,,,,,,,,,,,,,,,,,,,,,,
Julio Jones,Atl,WR,1,20.07,100%,15,63,0,0,0,0,0,0,6,31,1,4,1,20.07,32.07,31.53,10.57,7.80,21.20,16.20,29.13,,,,,,,,,,,,,,,,,,,,,,,,
Courtland Sutton,Den,WR,1,20.00,55%,132,64,0,0,0,0,0,0,7,120,0,5,0,20.00,10.67,15.80,30.13,20.13,12.07,14.80,10.80,,,,,,,,,,,,,,,,,,,,,,,,
Allen Robinson II,Chi,WR,1,18.80,96%,96,67,0,0,0,0,0,0,7,102,0,5,0,18.80,8.73,14.00,17.13,35.47,-,28.80,11.13,,,,,,,,,,,,,,,,,,,,,,,,
Ted Ginn Jr.,NO,WR,1,18.73,11%,219,68,0,0,0,0,0,0,7,101,0,5,0,18.73,0,3.00,5.27,13.43,8.60,6.20,6.80,,,,,,,,,,,,,,,,,,,,,,,,
Julian Edelman,NE,WR,1,18.61,99%,34,69,32,0,0,8,0,1,6,83,0,4,0,18.61,8.50,24.13,6.00,28.33,21.53,17.03,32.90,,,,,,,,,,,,,,,,,,,,,,,,
Robert Woods,LAR,WR,1,18.27,99%,63,70,0,0,0,16,0,1,8,70,0,3,0,18.27,6.10,10.47,33.93,10.20,6.60,14.93,6.00,,,,,,,,,,,,,,,,,,,,,,,,
Josh Gordon,NE,WR,1,17.87,94%,72,74,0,0,0,0,0,0,3,73,1,2,1,17.87,4.27,14.63,8.07,10.93,1.47,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Kenny Golladay,Det,WR,1,17.80,98%,66,76,0,0,0,0,0,0,4,42,1,3,1,17.80,30.80,4.13,30.47,-,18.07,3.40,33.20,,,,,,,,,,,,,,,,,,,,,,,,
Chris Godwin,TB,WR,1,17.53,98%,70,78,0,0,0,0,0,0,3,53,1,3,1,17.53,29.07,8.67,51.47,38.33,28.07,-,11.87,,,,,,,,,,,,,,,,,,,,,,,,
Trey Quinn,Was,WR,1,17.30,1%,228,82,0,0,0,0,0,0,4,33,1,2,1,17.30,9.30,10.50,4.27,4.10,3.93,5.00,3.00,,,,,,,,,,,,,,,,,,,,,,,,
Dede Westbrook,Jax,WR,1,17.20,92%,67,84,0,0,0,2,0,0,5,30,1,2,1,17.20,1.50,10.57,12.90,18.17,9.53,20.77,2.20,,,,,,,,,,,,,,,,,,,,,,,,
Christian Kirk,Ari,WR,1,16.13,88%,95,93,0,0,0,12,0,1,4,32,0,4,0,16.13,17.60,17.93,10.17,0,0,0,18.17,,,,,,,,,,,,,,,,,,,,,,,,
Adam Thielen,Min,WR,1,15.87,100%,27,96,0,0,0,0,0,0,3,43,1,2,1,15.87,12.00,21.77,2.40,38.67,20.80,11.67,0,,,,,,,,,,,,,,,,,,,,,,,,
Kenny Stills,Hou,WR,1,15.47,23%,177,98,0,0,0,0,0,0,3,37,1,2,1,15.47,6.53,12.93,5.60,0,0,15.00,5.47,,,,,,,,,,,,,,,,,,,,,,,,
Tyler Boyd,Cin,WR,1,15.30,97%,75,102,0,0,0,3,0,0,8,60,0,3,0,15.30,24.13,14.53,7.20,31.10,3.67,8.67,13.63,,,,,,,,,,,,,,,,,,,,,,,,
JuJu Smith-Schuster,Pit,WR,1,15.20,100%,11,104,0,0,0,0,0,0,6,78,0,4,0,15.20,14.60,17.40,4.00,21.00,1.47,-,23.87,,,,,,,,,,,,,,,,,,,,,,,,
DJ Moore,Car,WR,1,15.07,95%,87,105,0,0,0,0,0,0,7,76,0,5,0,15.07,19.93,15.67,8.93,16.07,19.17,-,9.53,,,,,,,,,,,,,,,,,,,,,,,,
Odell Beckham Jr.,Cle,WR,1,14.73,100%,20,114,0,0,0,0,0,0,7,71,0,3,0,14.73,28.73,12.73,4.33,5.50,16.73,-,10.47,,,,,,,,,,,,,,,,,,,,,,,,
Willie Snead IV,Bal,WR,1,14.73,2%,204,115,0,0,0,0,0,0,2,41,1,2,1,14.73,1.33,9.13,16.07,10.40,5.20,0.20,-,,,,,,,,,,,,,,,,,,,,,,,,
Preston Williams,Mia,WR,1,14.60,2%,356,119,0,0,0,0,0,0,3,24,1,2,1,14.60,11.20,12.53,9.07,-,10.27,14.37,13.30,,,,,,,,,,,,,,,,,,,,,,,,
Ryan Switzer,Pit,WR,1,14.23,1%,130,122,0,0,0,0,0,0,6,29,0,2,0,14.23,1.10,0,0,4.20,3.17,-,2.70,,,,,,,,,,,,,,,,,,,,,,,,
Tre'Quan Smith,NO,WR,1,13.73,16%,171,127,0,0,0,0,0,0,2,26,1,2,1,13.73,9.27,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Cooper Kupp,LAR,WR,1,13.07,96%,128,132,0,0,0,0,0,0,7,46,0,3,0,13.07,17.60,39.73,28.87,30.80,5.13,11.33,36.67,,,,,,,,,,,,,,,,,,,,,,,,
DK Metcalf,Sea,WR,1,12.93,37%,191,137,0,0,0,0,0,0,4,89,0,3,0,12.93,18.07,8.47,1.40,13.93,13.00,7.53,21.87,,,,,,,,,,,,,,,,,,,,,,,,
Tyler Lockett,Sea,WR,1,12.93,98%,23,138,0,0,0,0,0,0,1,44,1,1,1,12.93,20.27,43.17,11.20,20.90,16.40,16.77,19.77,,,,,,,,,,,,,,,,,,,,,,,,
Richie James Jr.,SF,WR,1,12.60,0%,292,141,0,0,0,0,0,0,1,39,1,1,1,12.60,4.17,12.57,- ,3.60,5.60,7.67,4.90,,,,,,,,,,,,,,,,,,,,,,,,
Jarvis Landry,Cle,WR,1,12.47,95%,90,143,0,0,0,10,0,1,4,67,0,2,0,12.47,10.93,10.13,24.13,13.00,6.90,- ,13.33,,,,,,,,,,,,,,,,,,,,,,,,
Dwayne Harris,Oak,WR,1,12.47,0%,243,144,0,0,0,0,0,0,1,7,0,0,0,12.47,4.10,0,0,0,-,0,1.80,,,,,,,,,,,,,,,,,,,,,,,,
Sterling Shepard,NYG,WR,1,11.80,87%,94,148,0,0,0,0,0,0,6,42,0,3,0,11.80,0,29.77,20.37,11.07,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
A.J. Brown,Ten,WR,1,11.67,3%,275,149,0,0,0,0,0,0,3,100,0,2,0,11.67,5.67,1.27,28.27,4.80,5.53,14.07,11.73,,,,,,,,,,,,,,,,,,,,,,,,
Marvin Jones Jr.,Det,WR,1,11.13,82%,106,154,0,0,0,4,0,0,4,56,0,3,0,11.13,9.87,25.73,11.13,- ,4.13,55.20,5.47,,,,,,,,,,,,,,,,,,,,,,,,
KeeSean Johnson,Ari,WR,1,11.07,2%,305,155,0,0,0,0,0,0,5,46,0,3,0,11.07,6.07,3.87,4.27,7.77,2.93,1.40,0,,,,,,,,,,,,,,,,,,,,,,,,
DeVante Parker,Mia,WR,1,11.00,14%,155,157,0,0,0,0,0,0,3,75,0,3,0,11.00,0,9.73,19.67,-,14.87,20.67,12.93,,,,,,,,,,,,,,,,,,,,,,,,
Mohamed Sanu,NE,WR,1,10.80,39%,138,162,0,0,0,0,0,0,5,57,0,2,0,10.80,7.07,17.20,18.27,18.90,5.93,1.20,5.53,,,,,,,,,,,,,,,,,,,,,,,,
Miles Boykin,Bal,WR,1,10.33,4%,278,165,0,0,0,0,0,0,1,5,1,1,1,10.33,10.33,2.73,0,15.13,0,5.87,6.67,,,,,,,,,,,,,,,,,,,,,,,,
Cody Latimer,NYG,WR,1,9.93,0%,273,168,0,0,0,0,0,0,3,74,0,2,0,9.93,8.00,0,0,0,0,9.20,7.97,,,,,,,,,,,,,,,,,,,,,,,,
Damiere Byrd,Ari,WR,1,9.80,0%,431,169,0,0,0,0,0,0,4,42,0,3,0,9.80,16.90,2.60,0,0,7.00,1.27,4.20,,,,,,,,,,,,,,,,,,,,,,,,
Cole Beasley,Buf,WR,1,9.67,6%,205,171,0,0,0,0,0,0,5,40,0,2,0,9.67,12.53,15.20,16.00,6.40,-,14.07,15.73,,,,,,,,,,,,,,,,,,,,,,,,
Bennie Fowler III,NYG,WR,1,9.67,0%,397,172,0,0,0,0,0,0,5,40,0,2,0,9.67,14.40,1.33,2.20,0,0,8.33,4.40,,,,,,,,,,,,,,,,,,,,,,,,
Marquez Valdes-Scantling,GB,WR,1,9.47,66%,182,174,0,0,0,0,0,0,4,52,0,2,0,9.47,5.27,22.60,8.13,3.20,7.10,20.87,2.27,,,,,,,,,,,,,,,,,,,,,,,,
Davante Adams,GB,WR,1,9.40,100%,16,176,0,0,0,0,0,0,4,36,0,3,0,9.40,21.07,10.73,29.00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Justin Hardy,Atl,WR,1,8.73,0%,344,187,0,0,0,0,0,0,4,41,0,2,0,8.73,0,1.40,0,1.33,0,4.27,4.53,,,,,,,,,,,,,,,,,,,,,,,,
Will Fuller V,Hou,WR,1,8.60,90%,117,188,0,0,0,0,0,0,2,69,0,2,0,8.60,8.67,12.40,5.53,59.47,9.93,1.40,0,,,,,,,,,,,,,,,,,,,,,,,,
Andy Isabella,Ari,WR,1,8.60,2%,330,189,0,0,0,0,0,0,0,0,0,0,0,8.60,0,1.90,0.50,1.10,0,3.53,0,,,,,,,,,,,,,,,,,,,,,,,,
Paul Richardson Jr.,Was,WR,1,8.40,2%,160,192,0,0,0,0,0,0,4,36,0,2,0,8.40,13.07,26.53,3.93,2.93,0,0,7.27,,,,,,,,,,,,,,,,,,,,,,,,
Alex Erickson,Cin,WR,1,8.27,1%,175,193,0,0,0,0,0,0,4,28,0,1,0,8.27,2.93,3.67,4.40,3.47,13.83,23.43,14.47,,,,,,,,,,,,,,,,,,,,,,,,
Ray-Ray McCloud III,Buf,WR,1,8.10,0%,733,195,0,0,0,0,0,0,0,0,0,0,0,8.10,3.90,3.60,4.80,4.20,-1.00,0,0,,,,,,,,,,,,,,,,,,,,,,,,
James Washington,Pit,WR,1,7.40,35%,283,201,0,0,0,0,0,0,2,51,0,2,0,7.40,5.53,2.93,0,9.47,0,-,3.40,,,,,,,,,,,,,,,,,,,,,,,,
Curtis Samuel,Car,WR,1,7.13,87%,105,202,0,0,0,0,0,0,3,32,0,2,0,7.13,14.27,20.53,6.23,8.77,25.47,-,10.07,,,,,,,,,,,,,,,,,,,,,,,,
Devin Funchess,Ind,WR,1,7.13,26%,145,203,0,0,0,0,0,0,3,32,0,2,0,7.13,0,0,0,0,-,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Rashard Higgins,Cle,WR,1,7.07,4%,152,208,0,0,0,0,0,0,2,46,0,2,0,7.07,0,0,0,0,0,-,1.13,,,,,,,,,,,,,,,,,,,,,,,,
Damion Willis,Cin,WR,1,7.00,1%,284,209,0,0,0,0,0,0,3,30,0,2,0,7.00,1.40,0,1.53,7.53,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Brandin Cooks,LAR,WR,1,6.60,99%,64,216,0,0,0,0,0,0,2,39,0,2,0,6.60,19.13,24.27,14.73,7.63,6.60,10.93,0,,,,,,,,,,,,,,,,,,,,,,,,
Deon Cain,Ind,WR,1,6.33,0%,358,220,0,0,0,0,0,0,2,35,0,2,0,6.33,0,2.67,0,1.47,-,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Parris Campbell,Ind,WR,1,6.17,6%,339,222,0,0,0,7,0,0,1,1,0,0,0,6.17,14.60,8.70,5.67,0,-,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Kelvin Harmon,Was,WR,1,6.07,0%,415,224,0,0,0,0,0,0,2,31,0,2,0,6.07,0,0,3.93,1.27,1.53,0,2.80,,,,,,,,,,,,,,,,,,,,,,,,
Mike Evans,TB,WR,1,5.87,100%,21,233,0,0,0,0,0,0,2,28,0,2,0,5.87,11.07,51.67,20.93,0,22.40,-,48.20,,,,,,,,,,,,,,,,,,,,,,,,
Deonte Harris,NO,WR,1,5.60,0%,404,235,0,0,0,0,0,0,0,0,0,0,0,5.60,3.93,13.30,7.20,0.80,3.30,10.00,5.83,,,,,,,,,,,,,,,,,,,,,,,,
Stefon Diggs,Min,WR,1,5.47,100%,61,237,0,0,0,0,0,0,2,37,0,1,0,5.47,11.27,5.00,15.20,7.93,49.93,22.53,18.53,,,,,,,,,,,,,,,,,,,,,,,,
Deebo Samuel,SF,WR,1,5.13,17%,287,241,0,0,0,0,0,0,3,17,0,1,0,5.13,22.43,7.93,-,1.20,5.30,0,13.17,,,,,,,,,,,,,,,,,,,,,,,,
Ryan Grant,GB,WR,1,5.07,0%,246,245,0,0,0,0,0,0,3,16,0,1,0,5.07,0.87,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Mike Williams,LAC,WR,1,4.93,96%,82,251,0,0,0,0,0,0,2,29,0,1,0,4.93,11.53,9.00,0,14.93,14.80,10.13,9.60,,,,,,,,,,,,,,,,,,,,,,,,
Jakeem Grant,Mia,WR,1,4.70,3%,93,253,0,0,0,0,0,0,1,-3,0,0,0,4.70,9.47,9.90,13.40,-,0,0,14.43,,,,,,,,,,,,,,,,,,,,,,,,
Diontae Johnson,Pit,WR,1,4.67,0%,354,254,0,0,0,0,0,0,3,25,0,0,0,4.67,4.23,17.07,18.13,7.80,3.93,-,22.60,,,,,,,,,,,,,,,,,,,,,,,,
Breshad Perriman,TB,WR,1,4.67,0%,253,256,0,0,0,0,0,0,2,10,0,2,0,4.67,0,4.70,0,0,0,-,0,,,,,,,,,,,,,,,,,,,,,,,,
Taylor Gabriel,Chi,WR,1,4.60,4%,181,258,0,0,0,0,0,0,2,24,0,1,0,4.60,5.13,40.70,0,0,-,1.40,10.53,,,,,,,,,,,,,,,,,,,,,,,,
Steven Sims Jr.,Was,WR,1,4.60,0%,417,259,0,0,0,0,0,0,0,0,0,0,0,4.60,4.80,15.80,3.70,13.57,2.20,9.63,5.40,,,,,,,,,,,,,,,,,,,,,,,,
Tyreek Hill,KC,WR,1,4.57,100%,6,260,0,0,0,5,0,0,2,16,0,1,0,4.57,0,0,0,0,29.33,16.93,16.57,,,,,,,,,,,,,,,,,,,,,,,,
Robby Anderson,NYJ,WR,1,4.53,92%,109,261,0,0,0,0,0,0,3,23,0,0,0,4.53,13.40,3.73,-,3.07,24.33,2.67,7.87,,,,,,,,,,,,,,,,,,,,,,,,
Mecole Hardman,KC,WR,1,4.50,15%,300,263,0,0,0,0,0,0,0,0,0,0,0,4.50,21.87,20.17,5.50,13.87,13.10,16.47,24.27,,,,,,,,,,,,,,,,,,,,,,,,
Zay Jones,Oak,WR,1,4.20,7%,209,266,0,0,0,0,0,0,2,18,0,1,0,4.20,2.93,6.20,2.27,0,-,0,5.80,,,,,,,,,,,,,,,,,,,,,,,,
Damion Ratley,Cle,WR,1,4.13,0%,384,268,0,0,0,0,0,0,2,17,0,1,0,4.13,7.33,8.93,2.67,0,0,-,0,,,,,,,,,,,,,,,,,,,,,,,,
Trevor Davis,Oak,WR,1,3.97,0%,393,274,0,0,0,0,0,0,1,28,0,1,0,3.97,0,0,17.10,13.30,-,14.33,2.20,,,,,,,,,,,,,,,,,,,,,,,,
Albert Wilson,Mia,WR,1,3.97,8%,211,275,0,0,0,1,0,0,2,13,0,1,0,3.97,0,0,0,-,7.00,3.47,10.33,,,,,,,,,,,,,,,,,,,,,,,,
Chad Beebe,Min,WR,1,3.90,0%,257,276,0,0,0,0,0,0,1,9,0,1,0,3.90,8.57,2.10,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Hunter Renfrow,Oak,WR,1,3.87,14%,180,279,0,0,0,0,0,0,2,13,0,1,0,3.87,8.0,7.87,4.20,2.80,-,4.93,18.87,,,,,,,,,,,,,,,,,,,,,,,,
Travis Benjamin,LAC,WR,1,3.80,0%,254,280,0,0,0,0,0,0,2,12,0,1,0,3.80,0,3.33,0,2.87,1.00,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Gunner Olszewski,NE,WR,1,3.50,0%,1137,283,0,0,0,0,0,0,0,0,0,0,0,3.50,0.90,2.40,0,4.90,6.27,2.40,0.80,,,,,,,,,,,,,,,,,,,,,,,,
Allen Hurns,Mia,WR,1,3.47,0%,320,284,0,0,0,0,0,0,1,22,0,1,0,3.47,1.87,1.40,0,-,4.07,8.53,10.80,,,,,,,,,,,,,,,,,,,,,,,,
Jakobi Meyers,NE,WR,1,3.47,2%,350,285,0,0,0,0,0,0,1,22,0,1,0,3.47,0,6.53,0,1.40,9.60,10.13,2.33,,,,,,,,,,,,,,,,,,,,,,,,
Donte Moncrief,Pit,WR,1,3.47,68%,133,288,0,0,0,0,0,0,3,7,0,0,0,3.47,0,0,0,0,2.73,-,0,,,,,,,,,,,,,,,,,,,,,,,,
DaeSean Hamilton,Den,WR,1,3.33,14%,190,291,0,0,0,0,0,0,2,5,0,1,0,3.33,4.00,0,9.80,0,5.67,2.27,0,,,,,,,,,,,,,,,,,,,,,,,,
Josh Bellamy,NYJ,WR,1,3.00,0%,377,296,0,0,0,0,0,0,1,15,0,1,0,3.00,1.33,0,-,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
