Player Name,l_team,l_pos,l_gp,l_points,l_owners,l_project,l_actual,l_passyds,l_passtd,l_passint,l_rushyds,l_rushtd,l_rush1st,l_recepts,l_recyds,l_rectd,l_rec1st,l_2pt,l_fumble,l_pointspg,l_passydpg,l_passtdpg,l_passintpg,l_rushydpg,l_rushtdpg,l_rush1stpg,l_receptspg,l_recydspg,l_rectdpg,l_rec1stpg,l_touchdown,l_runnerQB
Sam Darnold,NYJ,QB,13,182.40,24,-,119,2865,17,15,138,1,16,0,0,0,0,0,2,14.0307692307692,220.384615384615,1.30769230769231,1.15384615384615,10.6153846153846,0.0769230769230769,1.23076923076923,0,0,0,0,1.91715976331362,142.159763313609
Andy Dalton,Cin,QB,11,178.54,21,-,127,2566,21,11,99,0,4,0,0,0,0,0,0,16.2309090909091,233.272727272727,1.90909090909091,1,9,0,0.363636363636364,0,0,0,0,3.64462809917356,87.6776859504132
Ryan Fitzpatrick,Mia,QB,8,170.84,4,-,135,2366,17,12,152,2,9,0,0,0,0,1,1,21.355,295.75,2.125,1.5,19,0.25,1.125,0,0,0,0,5.640625,415.140625
Ryan Tannehill,Ten,QB,11,154.86,20,-,162,1979,17,9,145,0,9,1,3,1,1,0,4,14.0781818181818,179.909090909091,1.54545454545455,0.818181818181818,13.1818181818182,0,0.818181818181818,0.0909090909090909,0.272727272727273,0.0909090909090909,0.0909090909090909,2.67768595041324,196
Alex Smith,Was,QB,10,151.00,0,-,175,2180,10,5,168,1,15,0,0,0,0,0,1,15.1,218,1,0.5,16.8,0.1,1.5,0,0,0,0,1.21,338.6
Joe Flacco,Den,QB,9,147.10,7,-,181,2465,12,6,45,0,10,0,0,0,0,0,1,16.3444444444444,273.888888888889,1.33333333333333,0.666666666666667,5,0,1.11111111111111,0,0,0,0,1.77777777777777,37.3456790123457
Nick Mullens,SF,QB,8,124.48,0,-,214,2277,13,10,-16,0,1,0,0,0,0,1,0,15.56,284.625,1.625,1.25,-2,0,0.125,0,0,0,0,2.640625,3.515625
Josh Rosen,Mia,QB,14,120.92,1,-,220,2278,11,14,138,0,8,0,0,0,0,1,5,8.63714285714286,162.714285714286,0.785714285714286,1,9.85714285714286,0,0.571428571428571,0,0,0,0,0.617346938775511,108.755102040816
Jeff Driskel,Det,QB,9,88.12,0,-,290,1003,6,2,130,2,7,0,0,0,0,1,1,9.79111111111111,111.444444444444,0.666666666666667,0.222222222222222,14.4444444444444,0.222222222222222,0.777777777777778,0,0,0,0,0.790123456790124,238.530864197529
Nick Foles,Jax,QB,5,82.89,4,-,302,1413,7,4,17,0,6,1,10,0,1,0,2,16.578,282.6,1.4,0.8,3.4,0,1.2,0.2,2,0,0.2,1.96,21.16
Taysom Hill,NO,QB,16,79.23,1,-,308,64,0,1,196,2,15,3,4,0,0,0,1,4.951875,4,0,0.0625,12.25,0.125,0.9375,0.1875,0.25,0,0,0.015625,177.22265625
C.J. Beathard,SF,QB,6,78.98,0,-,310,1252,8,7,69,1,6,0,0,0,0,0,3,13.1633333333333,208.666666666667,1.33333333333333,1.16666666666667,11.5,0.166666666666667,1,0,0,0,0,2.24999999999999,160.444444444444
Brock Osweiler,Mia,QB,7,68.98,0,-,330,1247,6,4,21,0,1,0,0,0,0,1,1,9.85428571428571,178.142857142857,0.857142857142857,0.571428571428571,3,0,0.142857142857143,0,0,0,0,0.73469387755102,9.87755102040816
