Player Name,l_team,l_pos,l_gp,l_points,l_owners,l_project,l_actual,l_passyds,l_passtd,l_passint,l_rushyds,l_rushtd,l_rush1st,l_recepts,l_recyds,l_rectd,l_rec1st,l_2pt,l_fumble,l_pointspg,l_passydpg,l_passtdpg,l_passintpg,l_rushydpg,l_rushtdpg,l_rush1stpg,l_receptspg,l_recydspg,l_rectdpg,l_rec1stpg
Ito Smith,Atl,RB,7,49.30,0.11,244,220,0,0,0,106,1,10,11,87,0,2,0,0,7.04285714285714,0,0,0,17.8333333333333,0.333333333333333,1,1.5,13.1666666666667,0.166666666666667,0.666666666666667
Wayne Gallman Jr.,NYG,RB,6,48.97,0.14,319,222,0,0,0,107,2,6,9,79,1,4,0,1,8.16166666666667,0,0,0,14.8,0.2,0.4,1.4,19.2,0,0.8
Trevor Davis,Oak,WR,5,48.70,0,282,223,0,0,0,74,1,2,7,96,0,4,0,1,9.74,0,0,0,0,0,0,5,65,0.333333333333333,3
Golden Tate,NYG,WR,3,48.40,0.75,161,224,0,0,0,0,0,0,15,195,1,9,0,0,16.1333333333333,0,0,0,33.4285714285714,0,2.57142857142857,0.571428571428571,4.14285714285714,0,0.142857142857143
Gus Edwards,Bal,RB,7,48.33,0.04,275,225,0,0,0,234,0,18,4,29,0,1,0,0,6.90428571428571,0,0,0,9,0.4,0.6,1,14.4,0.2,0.8
James O'Shaughnessy,Jax,TE,5,47.20,0,364,227,0,0,0,0,0,0,14,153,2,7,0,0,9.44,0,0,0,0,0,0,2.8,30.6,0.4,1.4
Rex Burkhead,NE,RB,4,47.00,0.13,236,228,0,0,0,112,1,5,14,117,0,5,0,0,11.75,0,0,0,28,0.25,1.25,3.5,29.25,0,1.25
Dallas Goedert,Phi,TE,6,46.67,0.16,241,231,0,0,0,0,0,0,14,160,2,8,0,1,7.77833333333333,0,0,0,0,0,0,2.33333333333333,26.6666666666667,0.333333333333333,1.33333333333333
Richie James Jr.,SF,WR,6,46.20,0.01,262,232,0,0,0,0,0,0,5,108,1,4,0,1,7.7,0,0,0,0,0,0,0.833333333333333,18,0.166666666666667,0.666666666666667
Jack Doyle,Ind,TE,6,44.93,0.16,272,233,0,0,0,0,0,0,17,149,1,10,0,0,7.48833333333333,0,0,0,0,0,0,2.83333333333333,24.8333333333333,0.166666666666667,1.66666666666667
Tyler Higbee,LAR,TE,6,44.80,0.04,265,234,0,0,0,0,0,0,17,162,1,9,0,0,7.46666666666667,0,0,0,0,0,0,2.83333333333333,27,0.166666666666667,1.5
Vance McDonald,Pit,TE,5,44.47,0.55,209,235,0,0,0,0,0,0,14,127,2,6,0,0,8.894,0,0,0,0,0,0,2.8,25.4,0.4,1.2
Deonte Harris,NO,WR,7,44.13,0,360,236,0,0,0,10,0,1,1,-7,0,0,0,1,6.30428571428571,0,0,0,1.42857142857143,0,0.142857142857143,0.142857142857143,-1,0,0
Foster Moreau,Oak,TE,6,44.07,0,294,237,0,0,0,0,0,0,12,121,2,8,0,0,7.345,0,0,0,0,0,0,2,20.1666666666667,0.333333333333333,1.33333333333333
Darrel Williams,KC,RB,7,43.40,0.08,296,238,0,0,0,76,2,4,11,147,0,5,0,1,6.2,0,0,0,10.8571428571429,0.285714285714286,0.571428571428571,1.57142857142857,21,0,0.714285714285714
Cameron Brate,TB,TE,6,42.93,0.01,266,240,0,0,0,0,0,0,12,119,2,7,0,0,7.155,0,0,0,0,0,0,2,19.8333333333333,0.333333333333333,1.16666666666667
Marquise Goodwin,SF,WR,6,42.57,0.16,235,242,0,0,0,15,0,1,11,181,1,9,0,0,7.095,0,0,0,2.5,0,0.166666666666667,1.83333333333333,30.1666666666667,0.166666666666667,1.5
Alexander Mattison,Min,RB,7,42.53,0.24,300,243,0,0,0,270,1,12,1,8,0,0,0,1,6.07571428571429,0,0,0,38.5714285714286,0.142857142857143,1.71428571428571,0.142857142857143,1.14285714285714,0,0
Nyheim Hines,Ind,RB,6,42.17,0.13,297,244,0,0,0,33,0,4,19,133,0,7,0,0,7.02833333333333,0,0,0,5.5,0,0.666666666666667,3.16666666666667,22.1666666666667,0,1.16666666666667
Deebo Samuel,SF,WR,5,42.00,0.14,217,245,0,0,0,8,0,0,15,168,1,7,1,1,8.4,0,0,0,1.6,0,0,3,33.6,0.2,1.4
Tyler Eifert,Cin,TE,7,40.87,0.1,286,247,0,0,0,0,0,0,17,118,1,8,0,0,5.83857142857143,0,0,0,0,0,0,2.42857142857143,16.8571428571429,0.142857142857143,1.14285714285714
Dawson Knox,Buf,TE,6,40.77,0.2,288,248,0,0,0,9,0,1,12,178,1,7,0,0,6.795,0,0,0,1.5,0,0.166666666666667,2,29.6666666666667,0.166666666666667,1.16666666666667
Miles Boykin,Bal,WR,7,40.73,0.01,308,249,0,0,0,0,0,0,9,131,2,7,0,0,5.81857142857143,0,0,0,0,0,0,1.57142857142857,17.1428571428571,0.285714285714286,0.714285714285714
