Player Name,l_team,l_pos,l_gp,l_points,l_owners,l_actual,l_passyds,l_passtd,l_passint,l_rushyds,l_rushtd,l_rush1st,l_recepts,l_recyds,l_rectd,l_rec1st,l_2pt,l_fumble,l_pointspg,l_passydpg,l_passtdpg,l_passintpg,l_rushydpg,l_rushtdpg,l_rush1stpg,l_receptspg,l_recydspg,l_rectdpg,l_rec1stpg,l_touchdown,l_ppr
Mohamed Sanu,NE,WR,16,208.47,76%,94,5,1,0,44,0,5,66,838,4,41,1,1,13.029375,0,0,0,6.83333333333333,0.166666666666667,0.5,1.5,11,0,0.333333333333333,0.0277777777777779,2.3
Golden Tate,NYG,WR,15,201.20,76%,103,0,0,0,34,0,1,74,795,4,33,1,0,13.4133333333333,0,0,0,0,0,0,1.57142857142857,16,0,0.857142857142857,0,2.46938775510204
Zay Jones,Oak,WR,16,190.47,3%,112,0,0,0,0,0,0,56,652,7,33,1,0,11.904375,0,0,0,13.8333333333333,0,0.333333333333333,1.33333333333333,5.83333333333333,0,0.333333333333333,0,1.77777777777777
DJ Moore,Car,WR,16,188.83,89%,114,0,0,0,172,0,6,55,788,2,33,0,3,11.801875,0,0,0,0,0,0,1.6,9,0.2,0.8,0.04,2.6
Andre Roberts,Buf,WR,16,186.07,0%,115,0,0,0,20,0,1,10,79,1,4,0,1,11.629375,0,0,0,4.85714285714286,0,0.142857142857143,0.285714285714286,2,0,0.142857142857143,0,0.081632653061225
Cordarrelle Patterson,Chi,WR,15,182.57,1%,117,0,0,0,228,1,15,21,247,3,11,0,1,12.1713333333333,0,0,0,0,0,0,2.6,13.6,0,1,0,6.8
Demaryius Thomas,NYJ,WR,15,181.13,6%,120,0,0,0,0,0,0,59,677,5,37,0,0,12.0753333333333,0,0,0,9,0,0.666666666666667,1.5,6.66666666666667,0,0.166666666666667,0,2.3
Cole Beasley,Buf,WR,16,179.70,24%,123,0,0,0,0,0,0,65,672,3,39,0,0,11.23125,0,0,0,0,0,0,1.28571428571429,17,0,0.714285714285714,0,1.65306122448981
Nelson Agholor,Phi,WR,16,178.87,23%,125,15,0,0,32,0,2,64,736,4,28,0,0,11.179375,0,0,0,22.3333333333333,0,0.333333333333333,0.5,3.5,0,0.166666666666667,0,0.3
A.J. Green,Cin,WR,9,175.27,84%,128,0,0,0,0,0,0,46,694,6,37,0,1,19.4744444444444,0,0,0,1.28571428571429,0,0.142857142857143,0.857142857142857,2,0.142857142857143,0.142857142857143,0.0204081632653062,0.734693877551020
