l_name,l_pos,l_team,l_wk1,l_wk2,l_wk3,l_wk4,l_wk5,l_wk6,l_wk7,l_wk8,l_wk9,l_wk10,l_wk11,l_wk12,l_wk13,l_wk14,l_wk15,l_wk16,l_wk17
Emmanuel Sanders,WR,SF,@TB,@Cin,Pit,Bye,Cle,@LAR,@Was,Car,@Ari,Sea,Ari,GB,@Bal,@NO,Atl,LAR,@Sea
Jimmy Graham,TE,GB,@Chi,Min,Den,Phi,@Dal,Det,Oak,@KC,@LAC,Car,Bye,@SF,@NYG,Was,Chi,@Min,@Det
Jason Witten,TE,Dal,NYG,@Was,Mia,@NO,GB,@NYJ,Phi,Bye,@NYG,Min,@Det,@NE,Buf,@Chi,LAR,@Phi,Was
Larry Fitzgerald,WR,Ari,Det,@Bal,Car,Sea,@Cin,Atl,@NYG,@NO,SF,@TB,@SF,Bye,LAR,Pit,Cle,@Sea,@LAR
Philip Rivers,QB,LAC,Ind,@Det,Hou,@Mia,Den,Pit,@Ten,@Chi,GB,@Oak,KC,Bye,@Den,@Jax,Min,Oak,@KC
Aaron Rodgers,QB,GB,@Chi,Min,Den,Phi,@Dal,Det,Oak,@KC,@LAC,Car,Bye,@SF,@NYG,Was,Chi,@Min,@Det
Frank Gore,RB,Buf,@NYJ,@NYG,Cin,NE,@Ten,Bye,Mia,Phi,Was,@Cle,@Mia,Den,@Dal,Bal,@Pit,@NE,NYJ
Ryan Fitzpatrick,QB,Mia,Bal,NE,@Dal,LAC,Bye,Was,@Buf,@Pit,NYJ,@Ind,Buf,@Cle,Phi,@NYJ,@NYG,Cin,@NE
DeSean Jackson,WR,Phi,Was,@Atl,Det,@GB,NYJ,@Min,@Dal,@Buf,Chi,Bye,NE,Sea,@Mia,NYG,@Was,Dal,@NYG
Matt Ryan,QB,Atl,@Min,Phi,@Ind,Ten,@Hou,@Ari,LAR,Sea,Bye,@NO,@Car,TB,NO,Car,@SF,Jax,@TB
Greg Olsen,TE,Car,LAR,TB,@Ari,@Hou,Jax,@TB,Bye,@SF,Ten,@GB,Atl,@NO,Was,@Atl,Sea,@Ind,NO
Ted Ginn Jr.,WR,NO,Hou,@LAR,@Sea,Dal,TB,@Jax,@Chi,Ari,Bye,Atl,@TB,Car,@Atl,SF,Ind,@Ten,@Car
Adrian Peterson,RB,Was,@Phi,Dal,Chi,@NYG,NE,@Mia,SF,@Min,@Buf,Bye,NYJ,Det,@Car,@GB,Phi,NYG,@Dal
Alshon Jeffery,WR,Phi,Was,@Atl,Det,@GB,NYJ,@Min,@Dal,@Buf,Chi,Bye,NE,Sea,@Mia,NYG,@Was,Dal,@NYG
Russell Wilson,QB,Sea,Cin,@Pit,NO,@Ari,LAR,@Cle,Bal,@Atl,TB,@SF,Bye,@Phi,Min,@LAR,@Car,Ari,SF
Mohamed Sanu,WR,NE,Pit,@Mia,NYJ,@Buf,@Was,NYG,@NYJ,Cle,@Bal,Bye,@Phi,Dal,@Hou,KC,@Cin,Buf,Mia
T.Y. Hilton,WR,Ind,@LAC,@Ten,Atl,Oak,@KC,Bye,Hou,Den,@Pit,Mia,Jax,@Hou,Ten,@TB,@NO,Car,@Jax
Kirk Cousins,QB,Min,Atl,@GB,Oak,@Chi,@NYG,Phi,@Det,Was,@KC,@Dal,Den,Bye,@Sea,Det,@LAC,GB,Chi
Ryan Tannehill,QB,Ten,@Cle,Ind,@Jax,@Atl,Buf,@Den,LAC,TB,@Car,KC,Bye,Jax,@Ind,@Oak,Hou,NO,@Hou
Cole Beasley,WR,Buf,@NYJ,@NYG,Cin,NE,@Ten,Bye,Mia,Phi,Was,@Cle,@Mia,Den,@Dal,Bal,@Pit,@NE,NYJ
Marvin Jones Jr.,WR,Det,@Ari,LAC,@Phi,KC,Bye,@GB,Min,NYG,@Oak,@Chi,Dal,@Was,Chi,@Min,TB,@Den,GB
A.J. Green,WR,Cin,@Sea,SF,@Buf,@Pit,Ari,@Bal,Jax,@LAR,Bye,Bal,@Oak,Pit,NYJ,@Cle,NE,@Mia,Cle
Julio Jones,WR,Atl,@Min,Phi,@Ind,Ten,@Hou,@Ari,LAR,Sea,Bye,@NO,@Car,TB,NO,Car,@SF,Jax,@TB
Mark Ingram II,RB,Bal,@Mia,Ari,@KC,Cle,@Pit,Cin,@Sea,Bye,NE,@Cin,Hou,@LAR,SF,@Buf,NYJ,@Cle,Pit
Kyle Rudolph,TE,Min,Atl,@GB,Oak,@Chi,@NYG,Phi,@Det,Was,@KC,@Dal,Den,Bye,@Sea,Det,@LAC,GB,Chi
Phillip Dorsett II,WR,NE,Pit,@Mia,NYJ,@Buf,@Was,NYG,@NYJ,Cle,@Bal,Bye,@Phi,Dal,@Hou,KC,@Cin,Buf,Mia
Robby Anderson,WR,NYJ,Buf,Cle,@NE,Bye,@Phi,Dal,NE,@Jax,@Mia,NYG,@Was,Oak,@Cin,Mia,@Bal,Pit,@Buf
Leonard Fournette,RB,Jax,KC,@Hou,Ten,@Den,@Car,NO,@Cin,NYJ,Hou,Bye,@Ind,@Ten,TB,LAC,@Oak,@Atl,Ind
Alex Erickson,WR,Cin,@Sea,SF,@Buf,@Pit,Ari,@Bal,Jax,@LAR,Bye,Bal,@Oak,Pit,NYJ,@Cle,NE,@Mia,Cle
