l_name,l_pos,l_team,l_wk1,l_wk2,l_wk3,l_wk4,l_wk5,l_wk6,l_wk7,l_wk8,l_wk9,l_wk10,l_wk11,l_wk12,l_wk13,l_wk14,l_wk15,l_wk16,l_wk17
Jordan Howard,RB,Phi,Was,@Atl,Det,@GB,NYJ,@Min,@Dal,@Buf,Chi,Bye,NE,Sea,@Mia,NYG,@Was,Dal,@NYG
Brandon Allen,QB,Den,@Oak,Chi,@GB,Jax,@LAC,Ten,KC,@Ind,Cle,Bye,@Min,@Buf,LAC,@Hou,@KC,Det,Oak
Jared Goff,QB,LAR,@Car,NO,@Cle,TB,@Sea,SF,@Atl,Cin,Bye,@Pit,Chi,Bal,@Ari,Sea,@Dal,@SF,Ari
Carson Wentz,QB,Phi,Was,@Atl,Det,@GB,NYJ,@Min,@Dal,@Buf,Chi,Bye,NE,Sea,@Mia,NYG,@Was,Dal,@NYG
Ezekiel Elliott,RB,Dal,NYG,@Was,Mia,@NO,GB,@NYJ,Phi,Bye,@NYG,Min,@Det,@NE,Buf,@Chi,LAR,@Phi,Was
Will Fuller V,WR,Hou,@NO,Jax,@LAC,Car,Atl,@KC,@Ind,Oak,@Jax,Bye,@Bal,Ind,NE,Den,@Ten,@TB,Ten
Jacoby Brissett,QB,Ind,@LAC,@Ten,Atl,Oak,@KC,Bye,Hou,Den,@Pit,Mia,Jax,@Hou,Ten,@TB,@NO,Car,@Jax
Hunter Henry,TE,LAC,Ind,@Det,Hou,@Mia,Den,Pit,@Ten,@Chi,GB,@Oak,KC,Bye,@Den,@Jax,Min,Oak,@KC
Austin Hooper,TE,Atl,@Min,Phi,@Ind,Ten,@Hou,@Ari,LAR,Sea,Bye,@NO,@Car,TB,NO,Car,@SF,Jax,@TB
Kenyan Drake,RB,Ari,Det,@Bal,Car,Sea,@Cin,Atl,@NYG,@NO,SF,@TB,@SF,Bye,LAR,Pit,Cle,@Sea,@LAR
Tyler Boyd,WR,Cin,@Sea,SF,@Buf,@Pit,Ari,@Bal,Jax,@LAR,Bye,Bal,@Oak,Pit,NYJ,@Cle,NE,@Mia,Cle
Michael Thomas,WR,NO,Hou,@LAR,@Sea,Dal,TB,@Jax,@Chi,Ari,Bye,Atl,@TB,Car,@Atl,SF,Ind,@Ten,@Car
Derrick Henry,RB,Ten,@Cle,Ind,@Jax,@Atl,Buf,@Den,LAC,TB,@Car,KC,Bye,Jax,@Ind,@Oak,Hou,NO,@Hou
Sterling Shepard,WR,NYG,@Dal,Buf,@TB,Was,Min,@NE,Ari,@Det,Dal,@NYJ,Bye,@Chi,GB,@Phi,Mia,@Was,Phi
